tanggal,suka,komentar
2025-09-25 11:31:14,0,sangat membantu dan memudahkan👍
2025-09-24 02:40:59,0,Bayar pajak via online tapi cetak stnk beda daerah bisa juga mantapp banget
2025-09-24 00:16:55,9,Menurut saya aplikasi ini sangat bagus banget dan sangat membantu untuk mengurus dokumen dokumen kependudukan WNI di Jawa Barat dan hal lainnya.⭐⭐⭐⭐⭐ untuk aplikasi ini.SEMANGAT TERUS!!!
2025-09-23 05:55:39,0,sangat membantu
2025-09-23 04:37:35,0,aplikasi tidak responsif. pelayanan kura kura
2025-09-22 08:46:11,0,tes pajal
2025-09-22 02:52:35,0,alhamdullilah sangat membantu sekali untuk pengecekan nya mantap lah pokonya 👍👍
2025-09-21 06:28:54,0,nice
2025-09-21 02:39:47,0,"makin kesini apk banyak eror, tolong di perbaiki lagi"
2025-09-20 22:53:52,0,susah buka galery Rasullulah
2025-09-20 10:17:03,0,"lama banget verifikasi nya, sangat kecewa"
2025-09-20 08:37:43,0,sangat membantu .. bayar pajak kendaraan bisa di hp tidak perlu antri
2025-09-20 08:08:42,5,ga guna sumpah. udah hampir 2 bulan daftar status nya masih pengeckan admin . rakyat mau bayar pajak di persulit. maunya di datengin langsung ke samsat biar ada pemasukan lebih kali ya. ga guna sumpah ada aplikasi ini. tetep aja harus dateng ke kantor nya.
2025-09-19 15:29:08,0,ok
2025-09-19 08:34:33,1,"Untuk masuk kesulitan di kolom tgl lahir hampir 2 minggu baru berhasil mohon rubah cara isi kolomnya jgn model almenak/kalender kami yg aki aki harus scrol ke tahun jauh di bawah sampai jari tangan struk gagal maning gagal maning... ( Buat mudahlah dg cara ketik saja) Lengkapi juga untuk kendaraan roda 2,kepemilikan tanah dan terintegrasi dg BPJS kesehatan.. Trimakasih"
2025-09-19 05:25:59,0,bagus
2025-09-17 12:01:00,0,"Sebenarnya Super-Apps ini sangat bagus tapi saya terpaksa saya harus memberi bintang satu, alasannya simple akun Google yang terkait ke aplikasi sapawarga tidak bisa di ganti dengan akun google yang baru, tentu saja ini menyulitkan saya untuk aktivitas apalagi jika saya sudah punya jejak digital di sana(aplikasi sapawarga) ada berbagai alasan kenapa saya butuh akun Google baru, Saya Mohon untuk ada fitur baru supaya bisa mengganti akun google dengan yang baru"
2025-09-17 05:12:39,0,membantu
2025-09-16 09:59:18,0,sangat membantu
2025-09-16 01:55:23,0,"saya mengadu ijazah saya ditahan pihak sekolah, tapi sudah 3 bulan ga selesai2, dan aduan dari warga yang lain pun tidak ada yang selesai, DARI 7.7 ribu ADUAN MASUK YANG SELESAI CUMA 89 gokillllllllll jabarrrrrrrrr"
2025-09-15 22:24:23,0,terimakasih layanan nya the best banget...ga lebay kaya signal giliran minta kode bayar Bank ga keluar mulu kodenya eror mulu sampe 3 bln. the best sapawarga pertahankan tks
2025-09-15 17:44:13,7,"payah. apk apaan, orang mau bayar pajak tahunan STNK malah di tolak pembayaran nya , padahal saya udh transfer sebesar 406.100. tapi gak muncul sama sekali bill pembayaran nya saya cek riwayat pembayaran gak ada sama sekali . dan dimana kalo yg namanya transaksi di batalkan, uang nya tuh balik lagi ke dana saya ini malah gak ada sama sekali . gak amanah banget saya sumpahin kualat hidup nya"
2025-09-15 17:35:17,3,"udah bayar pajak NMAX 400rb, tpi malah ga masuk², transaksi dibatalkan, tpi duit udah masuk, malah jadinya bayar Samsat lagi 400rb manual, karena org Samsat gamau tau, soalnya transaksi ga berhasil, padahal gua udah bayar, ada bukti qrisnya juga, bayar pajak jadi double, makan tuh duit gua buat pejabat"
2025-09-15 16:45:03,0,Semoga Bermanfaat
2025-09-15 06:24:48,0,bagus
2025-09-14 11:54:32,0,"mau isi data diri, tanggal lahir mentok di tahun 2000 hahahaha. saya yg lahir tahun 1990 gimana ini isi nya???"
2025-09-14 08:37:19,0,"Masa data tanggal lahir tahunnya cuma dampe tahun 2000, , yg lahiran tahun 2000 kebawah gmna settingnya hadeuh, , ,"
2025-09-13 02:20:31,0,"Terimakasih, sangat bermanfaat"
2025-09-10 23:30:35,0,"Aplikasi Sapawarga siip, mantap"
2025-09-10 05:10:56,0,sangat membantu urusan pajak bagi pekerja/karyawan
2025-09-10 04:38:15,0,ok
2025-09-09 19:03:23,0,"cara ngerubah tahun lahir nya gmn kocak, kaga bisa di geser geser tahunlahir 2000 kebawah"
2025-09-09 18:55:30,0,"lama banget untuk proses ganti nama, hampir setahun"
2025-09-09 04:57:02,0,mantap
2025-09-09 04:34:42,0,"Tolong aplikasinya diperbaharui untuk melengkapi data tahun lahir hanya tersedia mulai tahun 2000 ke atas, yang lahir tahun 2000 ke bawah gak bisa melengkapi data nih"
2025-09-08 04:34:33,1,"setelah diperbarui ko jadi begini keluar akun, harus daftar lagi trus gk bisa masukin no hp padahal no nya aktif hah makin parah nih afk"
2025-09-07 17:07:29,0,jempol
2025-09-07 13:32:40,0,sangat membantu
2025-09-07 00:46:10,0,"aplikasi dari pemerintah suka jelek ampunnn, dah"
