aplikasi nya sangat efisien untuk mengecek pajak kendaraan	positive
good	positive
lebih baik presisi kurat mudah	positive
sangat membantu sekali	positive
oke aja	positive
sangat membantu sekali	positive
sang at membantu	positive
good	positive
ok mantap bisa untuk cek kendaraan yg nunggak pajak	positive
sangat membantu dan mempermudah dalam pengecekan dan pembayaran pajak kendaraan	positive
bagus	positive
mantaap	positive
bagus	positive
mudah dan gampang	positive
sangat membantu	positive
sangat membantu saya kasih bintang 5	positive
ok lah	positive
developer nya dari vendor ya asal2an tuh bikin nya supaya ada biaya maintenance masa tidak bisa akses kamera padahal sudah diberikan ijin akses kamera pada aplikasi nya	negative
memudahkan pekerjaan	positive
oke banget	positive
bisa lebih cepat mengetahui pajak kendaraan	positive
semakin mudah bayar dimanapun dengan sapawarga	positive
bagus akurat	positive
mantap	positive
bagus	positive
mantap jabar juara	positive
akurat kk	positive
sangat membantu sekali	neutral
barusan update malah buat cek nopol kendaraan lain hasilnya malah membingungkan motor yg mati pajak 2021 muncul hasilnya malah masa pajak 2025 sampai 2026 mending kembalikan seperti semula	negative
baru jg donlot dipake siang mlmnya udh minta update	negative
kacau	negative
mantap bgtt	positive
embanru	positive
sangat membantu buat yg sibuk bekerja jadi mudah untuk membayar pajak	positive
mempermudah pembayaran pajak kendaraan	positive
man amana aman pokok na ajib	positive
sangan membatu inpormasi	positive
applikasi ini sangat membantu dan memudahkan saat hendak mengecek atau membayaran pajak	positive
bagus	positive
informasi edukasi pengetahuan yang diberikan sangat bermanfaat untuk warga jabar	positive
sapa warga sangat membantu	positive
	positive
bagaana cara menambah kendaraan	positive
susah melengkapi data pribadi susah masuk layanan pelepasan kepemilikan kendaraan masih kurang smooth aplikasinya	neutral
biasa pake signal bisa tinggal kirim stnk baru disini suruh ke samsat percuma digital masih enak pake signal ke samsat masih suka diminta bukti macem2 ini itulah suruh fc bukti gua kan udh bayar transfer anj gak ada koordinasinya bukan konyol adain kirim stnk ke alamat rumah kaya di signal	neutral
kalo ada bintang 6 ya saya kasih 6 ini aplikasi sangat membantu dan memudahkan kita ketika hendak membayar pajak kita bisa cek total biaya agar bisa kita siapkan sebelumnya terimakasih	positive
mantap	positive
kenapa biaya pajak di aplikasi sama di bagian humas samsat beda jauh saya ngecek d aplikasi byr pjk 5thn 980ribu pas d tanya kebagian pajak cuman 550n	negative
sangat membantu dan memudahkan	positive
bayar pajak via online tapi cetak stnk beda daerah bisa juga mantapp banget	positive
menurut saya aplikasi ini sangat bagus banget dan sangat membantu untuk mengurus dokumen dokumen kependudukan wni di jawa barat dan hal lainnya untuk aplikasi ini semangat terus	positive
sangat membantu	positive
aplikasi tidak responsif pelayanan kura kura	negative
tes pajal	positive
alhamdullilah sangat membantu sekali untuk pengecekan nya mantap lah pokonya	positive
nice	positive
makin kesini apk banyak eror tolong di perbaiki lagi	neutral
susah buka galery rasullulah	negative
lama banget verifikasi nya sangat kecewa	negative
sangat membantu bayar pajak kendaraan bisa di hp tidak perlu antri	positive
ga guna sumpah udah hampir 2 bulan daftar status nya masih pengeckan admin rakyat mau bayar pajak di persulit maunya di datengin langsung ke samsat biar ada pemasukan lebih kali ya ga guna sumpah ada aplikasi ini tetep aja harus dateng ke kantor nya	negative
ok	positive
untuk masuk kesulitan di kolom tgl lahir hampir 2 minggu baru berhasil mohon rubah cara isi kolomnya jgn model almenak kalender kami yg aki aki harus scrol ke tahun jauh di bawah sampai jari tangan struk gagal maning gagal maning buat mudahlah dg cara ketik saja lengkapi juga untuk kendaraan roda 2 kepemilikan tanah dan terintegrasi dg bpjs kesehatan trimakasih	positive
